subid,attribution_technical,attribution_survey,convert_TF,Tier,revenue,,
20034218,facebook,referral,TRUE,5,#REF!,,
20034232,facebook,facebook,FALSE,1,#REF!,,
20034317,search,pinterest,TRUE,8,18.717,,
20034433,display,other,TRUE,6,18.0931,,
20034449,search,search,TRUE,7,18.0931,,
20034471,search,tv,FALSE,2,#REF!,,
20034496,facebook,facebook,TRUE,3,#REF!,,
20034680,facebook,facebook,TRUE,6,#REF!,,
20034721,facebook,facebook,TRUE,6,#REF!,,
20034725,facebook,facebook,TRUE,3,18.1665,,
20034740,search,referral,TRUE,3,36.1495,,
20034988,search,facebook,TRUE,6,18.1665,,
20035098,facebook,facebook,FALSE,4,#REF!,,
20035135,facebook,facebook,TRUE,8,#REF!,,
20035265,search,tv,FALSE,5,#REF!,,
20035427,bing,tv,FALSE,8,#REF!,,
20035605,search,search,TRUE,7,18.0931,,
20035714,search,tv,TRUE,8,18.0931,,
20035801,facebook,facebook,TRUE,5,18.3867,,
20035859,facebook,facebook,TRUE,6,#REF!,,
20035915,facebook,facebook,FALSE,3,#REF!,,
20035925,facebook,facebook,FALSE,8,#REF!,,
20035954,search,search,TRUE,8,#REF!,,
20036035,facebook,sirius xm,TRUE,4,36.1495,,
20036052,facebook,facebook,FALSE,8,#REF!,,
20036084,facebook,facebook,TRUE,2,36.1495,,
20036444,facebook,facebook,FALSE,8,#REF!,,
20036516,facebook,facebook,TRUE,8,18.3867,,
20036915,search,amfm_radio,FALSE,8,#REF!,,
20037002,facebook,facebook,TRUE,5,#REF!,,
20037219,facebook,facebook,FALSE,1,#REF!,,
20037268,facebook,facebook,TRUE,5,18.717,,
20037295,display,tv,TRUE,7,18.0931,,
20037461,facebook,tv,TRUE,8,36.1495,,
20037566,facebook,facebook,FALSE,2,#REF!,,
20037621,facebook,facebook,TRUE,1,54.2059,,
20037683,facebook,facebook,FALSE,7,#REF!,,
20037865,facebook,tv,TRUE,7,18.0931,,
20037889,facebook,facebook,TRUE,8,#REF!,,
20037947,facebook,other,FALSE,7,#REF!,,
20037977,facebook,facebook,FALSE,7,#REF!,,
20038008,facebook,facebook,TRUE,6,18.0931,,
20038353,facebook,other,TRUE,8,18.0931,,
20038416,facebook,facebook,TRUE,6,18.3867,,
